user,majorContributor,responses,topics,avgNumberOfResponsesPerTopic,avgNumberOfResponsesBeforeResponse,avgNumberOfResponsesAfterResponse,entropy,yearJoined,firstDayResponse,avgGap,avgStd
susan_brainard,0,3,0,0,0,0,0.325427612,1,33,11,14.35270009
susan_duzik,1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
susie_darling1,0,13,1,0,0,0,4.657075359,2,34,2.928571429,32.08470931
susie_giurlani,0,0,1,0,0,0,0.325427612,2,1,1,0
svogel,0,2,0,0,0,0,0.729163319,7,3,1.5,6
swedishfish,0,16,1,2,25.625,30,2.390012529,3,62,7.352941176,35.72462925
sweet_pee,0,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
sweetbear,1,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363
sweeterthanhoney,0,7,3,5.666666667,0,42.71428571,1.319931388,6,4,2.4,20.01999001
sweetmom,0,3,1,1,1,9.333333333,0.36458166,5,19,6.25,2.487468593
sweetpotater,1,8,12,6.210526316,22.375,64.125,1.572153381,1,30,4.95,24.95490934
sweetsamanthadiabeti,0,3,1,0,0,0,1.060750492,6,22,6.75,2.165063509
t1diabetic24,1,0,0,0,0,0,0,7,3.874194056,1.889718175,3.779269363
t1dsophiesmom,0,4,0,0,0,0,0.696168833,6,43,11,36.54705871
t1mom2,0,2,0,0,13,31.5,0.143054647,6,5,12,9.5
tafflass,0,7,2,7.5,30.85714286,47.14285714,2.552071618,3,10,1.111111111,4.988876516
tamar_sofer_geri,0,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
tamara1,0,7,0,0,0,0,1.150319253,1,16,20.85714286,66.12511333
tammie_leisy,1,0,1,0,0,0,0,3,15,15,0
tammy_r,0,3,0,0,0,0,1.015436883,3,2,0.666666667,26.96087701
tannie1958,1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363
tanyaconovaloff,0,4,3,1,184.75,60.75,1.324367251,4,1,0.714285714,16.22545242
tapestry,1,8,0,0,0,0,2.801172574,6,9,1.125,4.512136412
tarra_bella,0,0,1,0,0,0,0,3,0,0,0
tasha22,1,0,1,0.25,0,0,0.068919535,3,5,5,0
tasha_daniels,0,0,1,0,0,0,0.325427612,6,1,1,0
tavia_v,0,28,2,0,0,0,3.933750116,4,13,0.433333333,110.9082153
taylar,1,4,0,0,0,0,0.36458166,2,40,10.5,0.866025404
taylor_moody,1,8,4,0,0,0,2.14833591,2,3,1.5,7.154544011
taylor_scott_van_sic,0,7,3,0,0,0,2.170992715,5,11,1.3,6.32534584
teamlenny,1,1,0,0,0,0,0.348084416,3,7,7,0
tee3,0,10,1,0,0,0,1.822908298,3,28,2.545454545,11.23159652
teebone,0,0,1,0,0,0,0,2,0,0,0
tenlover,0,3,1,13,0,39,1.044253249,3,24,6.25,0.433012702
terence,0,7,0,0,0,0,1.324367251,1,5,0.714285714,6.712765785
terence1,0,4,1,0,0,0,1.093744979,2,2,0.4,12.10619676
teresa,0,0,0,0,0,0,0,0,3.874194056,1.889718175,3.779269363
teresa1643,0,2,1,0,0,0,0.729163319,7,9,3,0
teresa5,0,3,0,0,0,0,0.356039795,1,37,12.33333333,18.92675942
teri4,0,9,0,0,0,0,1.690914344,2,9,9.111111111,40.15371698
teri9,0,2,0,0,0,0,0.36458166,4,13,6.5,4.5
terry1,0,0,1,0,0,0,0,1,0,0,0
terry5,0,3,0,0,0,0,0.87418873,2,11,3.666666667,4.714045208
tglo,0,6,1,9,7.5,21,1.068119386,5,4,0.571428571,5.938459912
thas,1,7,0,0,0,0,1.596021024,5,9,6.142857143,12.50632493
the_diabetic_camper,1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363
the_frizbian,0,12,0,0,0,0,4.154356191,3,19,1.583333333,60.72221587
the_loo,0,0,1,0,0,0,0.325427612,2,0,0,0
thedish,0,3,0,0,0,0,0.76704164,6,10,9.333333333,8.485281374
theodora,0,23,8,0,0,0,4.808043124,0,12,0.451612903,10.22290587
theot1d,0,6,0,0,0,0,2.065849693,6,39,10.83333333,13.69509239
tiae,1,1,0,0,0,0,0.129106649,5,54,54,0
ticky,0,4,2,63,220.25,24.5,1.458326639,6,2,0.333333333,25.60219175
tiera1,1,0,0,0,0,0,0,7,3.874194056,1.889718175,3.779269363
till,1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363
tim13,1,5,0,0,0,0,1.822908298,3,2,0.4,10.11928851
tim_rogers,0,1,1,0,0,0,0,1,17,8.5,0
timothy_r_rothgeb,0,2,0,0,0,0,0.376382812,2,27,13.5,2
tina18,0,0,1,97,0,0,0.36458166,4,0,0,0
tina7,0,2,5,0,0,0,0.650855223,2,0,0.714285714,2.32115383
tiny_dancer,1,6,0,0,0,0,1.860786619,3,45,7.5,16.90824914
tjsmom,0,1,2,1,10,3,1.015436883,0,0,0.333333333,0.471404521
todd3,0,11,0,0,0,0,3.82892858,4,4,0.363636364,8.965498608
todd8,0,24,2,0,0,0,8.59334364,6,2,0.076923077,0
todd_werner,1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363
toddcady,0,12,0,0,85.66666667,332.5833333,1.340864494,3,4,0.75,11.14924013
tom18,1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363
tom30,0,3,1,0,0,0,0.206758604,6,6,1.75,0.433012702
tom33,1,0,0,0,0,0,0,6,3.874194056,1.889718175,3.779269363
tom_baskin,0,2,1,0,0,0,0.729163319,1,58,19.33333333,0
tom_tuttle,0,1,1,0,0,0,0.178019898,2,9,4.5,0
tonilee,0,2,0,0,0,0,0.690009271,6,9,4.5,1.5
tonilynn20,1,1,1,11.5,434,112,0.272161296,4,6,3,0
tony_song_mysugartv,1,2,1,0,0,0,0.690009271,2,0,0.666666667,0.942809042
tony_tyner,1,1,0,0,0,0,0.325427612,2,57,57,0
tony_zarro,0,2,1,0,0,0,0.507636307,2,76,40.66666667,21.68460796
tonya,1,3,1,0,0,0,0.729163319,4,9,6.25,6.92820323
toosweet84,0,0,1,0,0,0,0,5,8,8,0
torn2tears,0,2,1,0,0,0,0.286109294,6,48,16,0
tortuga,0,2,1,0,0,0,0.729163319,3,4,1.666666667,0.471404521
tosh05,0,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363
tounyoubyou,1,0,0,0,0,0,0,7,3.874194056,1.889718175,3.779269363
tour_de_cure,0,0,1,0,0,0,0.325427612,2,0,0,0
tracee,0,1,1,0,0,0,0.36458166,1,0,1.5,1.5
tracey,0,9,0,0,0,0,2.277993281,1,56,6.222222222,41.49698784
tracey_tainsh,0,3,0,0,0,0,0.493688308,2,17,23.66666667,24.16609195
tracy,1,11,0,0,14,26.27272727,3.431755968,0,11,8.636363636,30.93795444
tracy_c,0,0,1,0,0,0,0.348084416,5,0,0,0
tracy_ceramic_chang_,0,0,1,0,0,0,0.325427612,3,42,42,0
tracy_greene_mintz,1,13,0,0,0,0,4.739561576,2,24,1.846153846,47.59742423
tracyuncc,0,16,6,0,0,0,2.121500985,6,0,0.136363636,17.25842709
travis2,0,7,1,0,0,0,2.436590914,2,16,2,2.803457687
treharne,1,7,3,0,0,0,1.380102697,3,0,0.1,15.10264877
trekker,1,1,1,0,0,0,0.36458166,3,15,7.5,0
trimarr1,0,2,1,15,6.5,10.5,0.729163319,6,43,14.33333333,11.3137085
trisha3,0,1,1,3.5,3,4,0.36458166,6,15,8.5,1
trixie,0,2,0,0,0,0,0.108751128,7,30,15,1
trmoorebhs,0,3,2,0,0,0,0,4,1,0.6,0.8
troy_birdsong,0,6,1,0,0,0,2.187489958,2,17,2.428571429,0.451753951
truenorth,1,0,0,0,0,0,0,8,3.874194056,1.889718175,3.779269363
twepat,1,4,5,28.83333333,8,6.75,0.410516891,4,0,0.222222222,17.27625931
twiddlemthumbs,1,0,40,1.699346405,0,0,13.03976127,2,1,0.025,4.488596663
twinchick,1,1,0,0.538461538,15,9,0.178019898,5,24,24,0
type1foodie,0,6,1,5,16.66666667,31.66666667,1.195177815,4,24,3.428571429,54.79051013
type1kanu,0,22,0,0,0.636363636,16.27272727,5.971531064,2,4,1.136363636,129.1578972
type1moms,1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363
type1twinsmom,0,2,2,3.5,0,6,0.36458166,4,6,1.5,1.479019946
type1vt,1,0,2,0,0,0,0.325427612,4,8,4,0
type_1_advocate_gram,0,2,0,0,0,0,0.650855223,4,11,5.5,1.5
type_ii_dad_of_type_,0,6,0,0,0,0,1.740422082,3,30,5,22.80898946
type_one_way,0,1,6,0,0,0,0.325427612,5,0,0.285714286,3.922722919
umhafs,0,0,1,2,0,0,0.348084416,4,3,3,0
underdog1,0,12,2,0,0,0,0.827034417,5,0,0.142857143,3.248233429
unwrapped,1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363
uptowngirl,0,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363
useddys,1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363
vancouversailor,1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363
vdubin71,0,5,1,7,0,13.4,1.740422082,4,24,4,4.310839052
verity,1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363
verity_gibbons,0,3,7,0,0,0,1.053315203,0,0,11.7,43.25840959
vicki1,0,16,4,0,0,0,3.79214883,2,3,2.9,150.9789638
vicki_s,1,0,4,0,0,0,1.408834909,1,13,3.25,1.920286437
vickie1,0,18,3,0,0,0,5.675800505,2,2,2,57.68756257
vicky5,0,1,1,0,0,0,0.36458166,6,1,1,0.5
victoria20,0,5,0,0,0,0,1.740422082,6,8,1.6,5.851495535
vikki,0,5,0,0,0,0,1.744600202,3,78,15.6,30.36181813
viktor_lee_daffron,0,2,0,0,9,19,0.507636307,2,34,22,5
vince3,0,12,0,0,0,0,4.177012996,3,12,1,68.17420496
vince_dwain,0,2,1,6,8,4.5,0.348084416,3,6,2.333333333,0.471404521
vincent1,1,0,0,0,0,0,0,6,3.874194056,1.889718175,3.779269363
viorel,0,2,0,0,0,0,0.690009271,4,4,15,13
vish,0,2,0,0,0,0,0.729163319,5,23,11.5,2
vonda_k,1,0,1,0,0,0,0.325427612,0,0,0,0
vpg,0,7,0,0,115.8571429,18,2.552071618,7,2,0.285714286,17.81537974
vps826,0,2,2,14.5,14,22,0.712666076,3,2,2.75,5.973901573
walter_or_wally_mulg,0,3,0,0,0,0,0.696168833,2,3,1,49.73932046
wanda_lofstrom,0,6,1,9,35.5,28.5,0.197430211,2,0,8.714285714,40.03162016
warren_levine,0,5,2,0,0,0,0.348084416,2,85,12.85714286,1.749635531
waseem_s_m,0,12,2,0,0,0,3.332584212,2,6,3.357142857,35.2718307
washington_state,1,3,1,0,5,9.333333333,1.386178104,3,4,12.25,17.5
wassim,1,9,0,0,61.88888889,40.77777778,2.14833591,3,6,0.666666667,9.727141613
watheda_terry,0,5,2,0,0,0,1.740422082,3,0,0.428571429,24.61375093
wdcats,0,2,0,0,3,9,0.696168833,3,10,5,3
wendi,1,2,1,0,0,0,1.038093688,2,0,1,3.299831646
wendi2,0,0,1,0,0,0,0.348084416,6,0,0,0
wendie_c,0,2,0,0,0,0,0.696168833,3,3,1.5,5.5
wendy16,0,3,0,0,0,0,0.681467407,5,7,2.333333333,1.414213562
wendy_jackson,0,3,0,0,0,0,0.998939639,3,23,7.666666667,35.17890782
wheelman,1,0,0,0,0,0,0,8,3.874194056,1.889718175,3.779269363
wildarms,0,3,1,0,0,0,0.534059693,3,5,1.25,0
william2,0,7,2,0,0,0,2.453088158,2,45,5,0.831479419
workinhere1,0,3,0,0,0,44.66666667,0.712666076,3,24,27.66666667,28.29605391
xirian,1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363
xman_s_mom,0,15,1,0,0,0,5.34708463,6,3,0.875,19.5987085
yaxpac1,1,0,0,0,0,0,0,6,3.874194056,1.889718175,3.779269363
ycarter43,0,5,0,0,67.2,28.2,0.685656204,5,2,0.4,6.85857128
yeagen,1,14,3,3.7,4.285714286,9.785714286,3.195524857,7,6,0.352941176,9.95213458
yelsoma,0,17,0,0,36.47058824,46.25,3.262327845,4,9,0.529411765,45.13133468
yenish,0,0,1,0,0,0,0.36458166,1,0,0,0
yomarie,0,2,0,0,0,0,0.696168833,3,9,4.5,20.5
yu_shing,0,8,2,0,0,0,2.801172574,1,92,9.2,31.39808911
zanne,0,5,0,0,0,0,0.827848341,4,6,1.2,20.57571384
zeke1,0,1,1,1,3,66,0.673512028,3,2,2.5,1.5
zikri_muhammad_basir,0,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
zu1,0,5,1,0,0,0,1.363521299,4,12,2,0
